"Distrito","Satisfaccion","Calidad","Tamaño","Ubicacion","Sexo","Edad","Año"
2,"8","9","6","8",2,56,2023
2,"9","8","8","9",2,56,2023
2,"7","9","6","5",2,25,2023
3,"9","7","10","9",1,65,2023
3,"8","10","9","7",1,37,2023
3,"10","10","10","10",1,63,2023
3,"10","10","10","7",2,19,2023
3,"5","5","6","7",1,26,2023
3,"10","10","10","10",1,58,2023
3,"6","6","6","8",2,66,2023
3,"10","9","7","10",1,44,2023
3,"9","9","10","10",1,55,2023
3,"10","9","9","10",1,27,2023
3,"9","7","8","7",2,39,2023
3,"10","10","9","8",1,75,2023
3,"9","10","10","9",2,57,2023
3,"10","10","8","8",2,52,2023
3,"10","8","8","8",2,62,2023
3,"10","10","10","9",2,43,2023
3,"10","10","10","10",2,63,2023
3,"10","8","8","9",2,66,2023
3,"9","8","9","6",2,49,2023
3,"7","9","9","8",1,49,2023
3,"10","7","10","10",2,81,2023
3,"7","7","8","8",2,19,2023
3,"10","9","10","10",1,50,2023
3,"10","10","10","10",1,64,2023
3,"10","8","10","1",2,20,2023
3,"6","3","10","10",1,29,2023
3,"8","7","5","10",1,77,2023
3,"10","10","9","10",2,92,2023
3,"9","7","10","10",1,57,2023
3,"9","9","10","10",2,64,2023
3,"7","10","6","9",1,32,2023
3,"10","8","5","8",2,73,2023
3,"10","9","8","9",2,74,2023
3,"10","10","10","10",1,32,2023
3,"10","10","10","10",2,39,2023
3,"10","5","10","10",1,54,2023
3,"7","8","8","4",1,46,2023
3,"10","10","10","10",2,68,2023
3,"10","10","9","9",2,50,2023
3,"10","6","8","9",1,47,2023
3,"10","10","10","10",2,73,2023
3,"9","9","9","9",1,40,2023
3,"10","10","10","8",1,30,2023
3,"10","10","10","10",2,38,2023
3,"9","9","9","9",1,55,2023
3,"10","7","7","10",1,65,2023
3,"10","5","10","10",2,63,2023
3,"6","7","4","7",1,38,2023
3,"10","10","10","10",1,76,2023
3,"8","8","8","10",1,38,2023
3,"10","9","9","9",2,38,2023
3,"10","10","10","10",1,34,2023
3,"9","9","9","9",1,46,2023
3,"9","9","9","9",1,46,2023
3,"10","10","10","10",2,45,2023
3,"7","8","10","10",1,80,2023
3,"10","6","8","9",1,72,2023
3,"8","9","8","9",1,32,2023
3,"8","8","9","6",1,76,2023
3,"10","10","10","6",1,85,2023
3,"1","1","1","1",1,54,2023
3,"5","6","7","9",1,74,2023
3,"10","10","10","10",2,45,2023
3,"8","10","10","5",1,28,2023
3,"10","10","10","10",1,46,2023
4,"9","9","9","10",2,79,2023
4,"8","7","10","10",1,63,2023
4,"10","10","10","10",1,50,2023
4,"10","9","10","10",2,75,2023
4,"8","7","9","9",1,19,2023
4,"9","9","7","7",1,51,2023
4,"9","10","8","7",2,38,2023
4,"10","9","9","9",1,31,2023
4,"10","10","10","7",1,63,2023
4,"6","7","7","7",2,61,2023
4,"10","9","8","8",2,50,2023
4,"7","7","10","10",1,49,2023
4,"10","10","10","10",1,64,2023
4,"10","10","10","10",1,61,2023
4,"10","10","10","10",2,19,2023
4,"10","7","10","7",2,67,2023
4,"10","10","10","7",1,59,2023
4,"8","9","8","8",1,24,2023
4,"8","8","10","10",2,66,2023
4,"8","8","7","10",2,30,2023
4,"10","8","8","10",NA,NA,2023
4,"10","10","10","10",2,44,2023
4,"7","8","6","7",1,23,2023
4,"10","9","8","8",2,48,2023
4,"10","10","10","10",2,38,2023
4,"7","7","8","8",1,28,2023
4,"10","7","8","8",1,74,2023
4,"10","10","10","10",1,26,2023
4,"8","8","10","10",2,36,2023
4,"8","8","8","7",2,44,2023
4,"10","10","10","10",2,72,2023
4,"2","2","5","10",1,64,2023
4,"9","10","10","9",2,71,2023
4,"10","10","10","10",2,57,2023
4,"5","5","5","7",1,35,2023
4,"10","8","8","10",2,74,2023
4,"10","8","7","9",2,49,2023
4,"8","8","8","6",2,42,2023
4,"7","10","10","8",2,35,2023
4,"10","8","10","10",2,41,2023
4,"10","10","10","10",2,50,2023
4,"10","10","9","10",2,55,2023
4,"7","7","7","6",2,19,2023
4,"8","8","7","8",2,30,2023
4,"9","9","9","8",2,49,2023
4,"6","7","7","10",2,40,2023
4,"8","5","6","9",2,60,2023
4,"8","5","7","10",2,26,2023
4,"10","10","10","10",2,73,2023
4,"10","9","10","10",2,69,2023
4,"10","9","7","10",1,61,2023
4,"7","7","7","7",2,43,2023
4,"9","8","7","7",1,32,2023
4,"8","8","4","9",1,18,2023
4,"8","8","8","8",1,42,2023
4,"7","5","7","7",2,78,2023
4,"7","7","7","7",2,40,2023
4,"10","9","6","5",1,51,2023
4,"10","7","7","7",1,65,2023
4,"9","9","9","9",1,46,2023
4,"10","10","10","10",1,46,2023
4,"7","7","7","8",2,37,2023
4,"9","9","9","9",2,67,2023
4,"7","7","6","8",2,22,2023
4,"8","6","6","7",2,76,2023
4,"8","8","8","10",2,49,2023
4,"6","6","6","9",2,30,2023
4,"8","8","10","10",1,46,2023
4,"10","5","10","10",1,55,2023
4,"7","6","8","9",2,63,2023
4,"10","10","10","10",2,44,2023
4,"8","8","8","9",1,77,2023
4,"10","10","7","7",1,55,2023
4,"10","10","10","10",1,46,2023
4,"10","9","9","9",1,52,2023
4,"9","9","9","9",1,63,2023
4,"9","7","7","10",2,27,2023
4,"10","10","10","10",1,33,2023
4,"7","8","6","5",2,36,2023
4,"10","10","6","10",2,70,2023
4,"10","8","8","10",2,18,2023
4,"8","8","5","8",1,43,2023
4,"9","10","10","10",1,70,2023
4,"8","8","9","8",1,66,2023
4,"10","9","9","10",1,62,2023
4,"10","10","10","10",1,59,2023
4,"10","9","9","9",1,43,2023
6,"10","6","7","6",1,69,2023
6,"10","10","10","10",2,64,2023
6,"8","8","8","8",2,24,2023
6,"10","10","10","10",2,59,2023
6,"8","10","8","10",2,38,2023
6,"8","8","8","8",2,59,2023
6,"10","10","10","10",2,77,2023
6,"9","9","8","8",2,53,2023
6,"8","8","8","8",2,24,2023
6,"8","8","8","8",1,58,2023
6,"8","8","8","8",1,68,2023
6,"8","5","10","6",1,18,2023
6,"6","9","6","4",1,58,2023
6,"9","9","9","8",1,35,2023
6,"10","7","6","8",1,46,2023
6,"8","5","6","7",1,55,2023
6,"8","9","9","8",1,59,2023
6,"10","10","10","10",1,50,2023
6,"10","9","9","8",1,77,2023
6,"9","10","6","9",1,28,2023
6,"4","4","4","4",2,73,2023
6,"10","10","10","9",2,46,2023
6,"8","8","10","9",1,30,2023
6,"9","10","9","10",1,25,2023
6,"10","9","10","10",2,59,2023
6,"10","9","10","10",2,72,2023
6,"7","7","7","10",2,23,2023
6,"10","8","9","7",1,67,2023
6,"8","9","9","10",1,45,2023
6,"7","8","8","9",1,31,2023
6,"10","10","10","10",2,41,2023
6,"10","10","10","8",2,55,2023
6,"10","6","10","7",1,50,2023
6,"10","8","9","7",2,37,2023
6,"10","10","7","9",2,70,2023
6,"10","9","10","10",2,60,2023
6,"5","5","5","7",1,51,2023
6,"10","9","10","7",2,40,2023
6,"8","10","9","10",1,50,2023
6,"10","10","10","10",1,68,2023
6,"7","8","7","10",1,42,2023
6,"10","1","10","10",1,53,2023
6,"9","10","10","10",2,60,2023
6,"8","9","9","8",1,23,2023
6,"10","9","9","10",1,52,2023
6,"10","10","10","10",1,56,2023
6,"10","7","8","10",1,34,2023
6,"10","7","9","10",2,41,2023
6,"9","10","10","10",1,30,2023
6,"10","8","10","7",1,50,2023
6,"10","8","9","10",1,40,2023
6,"10","6","8","10",2,50,2023
6,"6","6","7","7",1,40,2023
6,"7","10","9","7",2,18,2023
6,"8","10","7","8",2,37,2023
6,"8","8","9","9",2,18,2023
6,"10","7","8","8",2,61,2023
6,"8","8","8","8",1,51,2023
6,"10","9","8","9",2,58,2023
6,"7","7","10","8",2,22,2023
6,"10","10","10","10",2,49,2023
6,"10","10","8","10",2,52,2023
6,"8","8","8","10",1,55,2023
6,"10","10","10","10",2,53,2023
2,"8","8","10","5",2,46,2023
2,"7","5","10","10",2,52,2023
2,"10","9","9","10",2,65,2023
2,"10","10","9","10",2,64,2023
2,"8","8","9","10",1,45,2023
2,"8","10","9","10",1,21,2023
2,"10","8","8","9",2,28,2023
2,"10","10","10","10",1,21,2023
2,"9","9","9","10",1,20,2023
2,"7","10","9","10",2,50,2023
2,"6","8","9","9",1,52,2023
4,"8","8","9","8",2,29,2023
4,"8","8","9","9",2,70,2023
4,"10","9","10","10",2,30,2023
4,"7","7","7","7",2,53,2023
4,"10","10","10","7",2,80,2023
4,"6","8","8","5",2,68,2023
4,"10","10","10","10",1,34,2023
4,"8","6","8","6",2,22,2023
4,"10","9","10","10",2,65,2023
4,"9","8","8","9",2,45,2023
4,"8","9","9","10",2,23,2023
2,"6","5","6","8",1,48,2023
2,"4","5","5","10",1,45,2023
2,"10","10","10","10",2,49,2023
2,"9","9","9","8",2,54,2023
2,"8","10","8","10",2,22,2023
2,"8","7","10","10",1,36,2023
2,"8","10","8","10",1,60,2023
2,"10","10","10","10",2,53,2023
2,"7","7","7","7",2,43,2023
2,"5","5","5","6",2,57,2023
2,"10","10","9","9",1,68,2023
2,"5","5","8","1",1,42,2023
2,"5","7","7","9",2,60,2023
2,"10","7","8","10",1,59,2023
2,"5","10","5","5",2,37,2023
2,"1","2","1","1",1,64,2023
2,"7","8","10","10",2,53,2023
2,"9","9","9","9",2,55,2023
2,"9","7","7","7",1,40,2023
2,"7","8","6","9",1,26,2023
2,"10","9","10","10",2,41,2023
2,"9","9","9","7",1,45,2023
2,"10","9","8","10",2,56,2023
2,"10","9","10","10",1,23,2023
2,"7","10","9","6",2,24,2023
2,"10","9","9","10",1,27,2023
2,"9","9","10","7",1,49,2023
2,"10","10","10","7",2,36,2023
2,"8","8","7","7",2,22,2023
2,"8","8","8","5",1,53,2023
2,"7","7","7","7",1,18,2023
2,"10","10","8","6",1,50,2023
2,"10","10","7","9",1,20,2023
2,"7","6","7","6",1,49,2023
2,"10","10","10","7",2,59,2023
2,"8","8","8","9",1,25,2023
2,"8","8","8","8",2,57,2023
2,"10","8","10","10",2,34,2023
2,"7","6","7","9",1,62,2023
2,"10","10","10","8",2,19,2023
2,"10","10","10","8",1,48,2023
2,"7","7","9","7",1,25,2023
2,"10","10","10","7",1,43,2023
2,"9","8","8","8",1,46,2023
2,"9","9","9","9",2,46,2023
2,"8","7","5","8",2,33,2023
2,"8","7","8","8",1,26,2023
2,"8","9","8","8",2,37,2023
2,"8","9","8","8",1,25,2023
2,"10","10","7","10",1,55,2023
2,"8","8","8","8",1,50,2023
2,"10","8","9","7",1,20,2023
2,"10","10","8","8",1,50,2023
2,"8","7","8","5",1,47,2023
2,"8","9","9","8",2,33,2023
2,"8","10","9","9",1,47,2023
2,"9","9","7","9",1,42,2023
2,"5","8","8","8",1,45,2023
2,"7","7","7","8",2,58,2023
2,"8","8","9","10",2,38,2023
2,"10","9","10","10",1,29,2023
2,"8","8","6","8",1,52,2023
2,"10","10","10","7",2,50,2023
2,"7","9","7","10",2,48,2023
2,"5","6","5","7",2,28,2023
2,"10","10","8","10",2,38,2023
2,"8","8","8","9",1,36,2023
2,"10","10","10","10",1,51,2023
2,"9","9","9","10",2,19,2023
2,"8","8","7","8",1,24,2023
2,"9","8","9","9",1,40,2023
2,"10","10","8","8",1,53,2023
2,"9","9","6","10",2,27,2023
2,"9","8","8","8",2,52,2023
2,"7","7","7","7",1,78,2023
2,"8","10","8","10",1,30,2023
2,"10","5","7","10",2,49,2023
2,"10","10","8","8",2,26,2023
2,"7","10","7","10",2,44,2023
2,"10","10","10","10",2,40,2023
2,"10","8","7","10",1,50,2023
2,"10","9","9","8",1,30,2023
2,"10","8","8","10",1,60,2023
2,"7","7","6","10",1,38,2023
2,"9","9","10","10",2,27,2023
2,"7","9","10","10",2,30,2023
2,"10","5","6","6",2,51,2023
2,"5","5","7","9",2,44,2023
2,"6","6","6","8",2,59,2023
2,"7","7","7","8",2,20,2023
6,"10","10","8","10",1,53,2023
6,"2","2","2","2",1,48,2023
6,"9","8","8","4",2,52,2023
6,"10","10","10","10",1,60,2023
6,"10","10","10","10",1,25,2023
6,"10","9","10","10",1,30,2023
6,"10","9","8","9",2,51,2023
6,"10","9","9","10",2,40,2023
6,"9","8","7","8",1,42,2023
6,"8","6","9","8",1,72,2023
6,"9","9","10","10",1,49,2023
6,"8","9","9","10",1,62,2023
6,"10","10","10","10",2,47,2023
6,"9","9","9","9",1,32,2023
6,"9","8","9","9",1,62,2023
6,"8","8","7","8",1,28,2023
6,"8","5","5","10",1,42,2023
6,"10","10","8","10",1,48,2023
6,"8","8","8","10",1,25,2023
6,"8","8","8","8",1,23,2023
6,"8","9","6","10",1,60,2023
6,"5","6","5","5",2,23,2023
6,"8","8","10","7",1,48,2023
6,"10","10","9","9",1,42,2023
6,"10","9","10","10",1,46,2023
6,"10","10","9","10",2,37,2023
6,"8","8","7","10",2,72,2023
6,"6","8","8","9",1,20,2023
6,"8","7","9","10",1,49,2023
6,"10","9","9","10",1,61,2023
6,"10","8","9","10",1,54,2023
6,"8","7","7","8",2,66,2023
6,"10","10","10","10",2,31,2023
6,"7","7","5","8",1,46,2023
6,"7","9","10","9",1,48,2023
6,"9","9","9","9",1,43,2023
6,"8","8","8","9",2,52,2023
6,"8","8","9","9",2,50,2023
6,"7","7","6","7",2,48,2023
6,"6","8","7","7",2,28,2023
6,"8","8","7","8",1,43,2023
6,"8","8","7","7",2,46,2023
6,"8","8","8","8",1,42,2023
6,"6","10","9","9",2,32,2023
6,"8","8","8","9",2,19,2023
6,"6","7","7","9",1,34,2023
6,"10","10","10","10",1,54,2023
6,"8","8","8","9",1,38,2023
6,"9","8","8","10",1,47,2023
6,"8","9","9","9",2,45,2023
6,"9","10","10","10",1,35,2023
6,"10","10","9","10",1,23,2023
6,"10","9","8","10",2,50,2023
6,"6","8","8","10",1,23,2023
6,"10","10","5","10",1,62,2023
6,"9","7","7","9",2,23,2023
6,"10","10","10","10",1,18,2023
6,"7","8","4","5",2,28,2023
6,"8","6","8","9",2,47,2023
6,"10","10","10","10",1,29,2023
6,"9","10","6","10",2,40,2023
6,"10","10","10","7",2,28,2023
6,"8","8","7","9",2,28,2023
6,"6","6","9","7",2,57,2023
6,"10","10","9","8",2,56,2023
6,"10","8","9","9",1,64,2023
6,"8","8","5","10",2,45,2023
6,"8","9","8","9",1,34,2023
6,"8","9","9","9",1,79,2023
6,"8","8","9","9",2,43,2023
6,"8","8","8","9",2,27,2023
6,"7","8","10","10",2,68,2023
6,"8","9","9","8",2,52,2023
6,"7","8","6","8",1,58,2023
6,"7","7","8","9",1,40,2023
6,"4","7","7","7",1,47,2023
6,"8","8","10","10",2,25,2023
6,"5","6","5","7",1,22,2023
6,"9","7","9","7",2,60,2023
6,"8","9","9","9",1,26,2023
6,"10","10","10","10",1,59,2023
6,"7","9","7","10",1,36,2023
6,"8","9","10","6",2,58,2023
6,"5","6","9","5",2,38,2023
6,"10","9","9","10",1,36,2023
6,"10","9","10","10",1,68,2023
6,"8","8","10","10",1,74,2023
6,"10","10","10","10",2,62,2023
6,"8","8","6","8",2,61,2023
6,"7","8","10","9",1,53,2023
6,"8","9","10","8",2,61,2023
6,"6","6","8","8",1,69,2023
6,"9","8","9","1",2,49,2023
6,"7","8","8","8",2,67,2023
6,"5","8","9","8",1,51,2023
6,"8","8","8","8",1,60,2023
6,"8","8","8","10",1,70,2023
6,"7","8","10","7",1,31,2023
6,"7","7","8","9",1,49,2023
6,"8","9","8","7",2,51,2023
6,"10","9","9","10",1,72,2023
6,"10","9","6","9",1,68,2023
6,"8","7","6","9",2,35,2023
6,"4","10","10","10",1,67,2023
6,"7","8","10","10",1,57,2023
6,"10","9","10","10",2,67,2023
6,"9","9","8","7",2,61,2023
6,"10","10","10","10",2,63,2023
6,"10","8","10","10",2,32,2023
6,"8","9","7","9",2,35,2023
6,"10","10","10","7",2,56,2023
6,"10","10","10","10",2,50,2023
7,"6","8","7","7",2,70,2023
7,"10","10","10","10",1,67,2023
7,"5","7","6","10",2,34,2023
7,"10","10","10","7",2,76,2023
