date,endDate,incompleteResultLabel,resultId,device,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16.1,Q16.2,Q16.3,Q16.4,Q16.5,Q16.6,Q16.7,Q16.8,Q16.9,Q16.10,Q16.11,Q16.12,Q16.13,Q16.14,Q16.15,Q17.1,Q17.2,Q17.3,Q17.4,Q17.5,Q17.6,Q17.7,Q17.7.1,Q18,Q18.1.1,Q19,Q20,Q21,Q22,Q23,Q24,VAR00006,VAR00005,VAR00004,VAR00003,VAR00002,VAR00001,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57.1,Q57.2,Q57.3,Q57.4,Q58,Q59,Q60,Q61,Q62,Q63,Q64.1,Q64.2,Q64.3,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72.1,Q72.2,Q72.3,Q72.4,Q72.5,Q72.6,Q72.7,Q72.8,Q72.9,Q72.10,Q72.11,Q72.11.1,Q73.1,Q73.2,Q73.3,Q73.4,Q73.5,Q73.6,Q73.7,Q73.8,Q73.9,Q73.10,Q73.11,Q73.11.1,Q74,Q75,Q76.1,Q76.2,Q76.3,Q76.4,Q76.5,Q76.6,Q76.7,Q76.7.1,Q77,Q78,Q79.1,Q79.2,Q79.3,Q79.4,Q79.5,Q79.6,Q79.7,Q79.7.1,Q80,Q81,Q81.1.1,Q82,Q82.1.1,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q97.1.1,Q98,Q99,Q100.1,Q100.2,Q100.3,Q101,Q101.1.1,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112
2023-11-07T12:10:40Z,2023-11-07T12:57:33Z,False,45976380,aemtablet14,1234,2,6,Igual,No les alcanza y tienen dificultades,Sí,4,malos maestros,Publica,No hay ninguna persona en educacion media,,NA,No hay ninguna persona en educacion superior,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,NA,NA,NA,,Médicos de farmacias/genericos,,9,10,10,7,7,8,Satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,8,9,6,8,7,7,7,No,NA,,5,Solo hubo un apagon,Si,Si,6,6,2,No,NA,,7,9,5,Si,No,1,1,No,NA,,7,8,1,3,1,3,8,No cuenta con bibliotecas,10,1,5,Muchas veces,Algo,Poco,Nada,pronaf,3,Sí,NA,NA,2,Si,Selected,NA,NA,NA,Selected,NA,NA,Selected,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,,Sí,8,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Poco,Transporte publico,,Corrupcion,,Poco,No,,,Baja,"Escuelas (primaria, secundaria, preparatoria)",7,7,6,6,No,No,No,No,Llantas tiradas,,No recodo sin apoyo visual,Sí recordó con apoyo visual,Parcialmente de acuerdo,Parcialmente en desacuerdo,Totalmente de acuerdo,Hombre,,56,45 a 59 anos,Estudiante que trabaja,Preparatoria terminada,Si,"$6,560.62 a $8,747.48",,"$2,186.88 a $4,373.74",,corregidora,Si
2023-11-07T13:29:20Z,2023-11-07T14:02:20Z,False,45976381,aemtablet6,123,2,9,Mejorado algo,"Les alcanza justo, sin grandes dificultades",Sí,4,suspencion de clases,Publica,4,escuela,Publica,4,maestros,Publica,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,No,Sí,No,Selected,NA,NA,Selected,Selected,NA,NA,,Médicos de farmacias/genericos,,10,10,10,8,9,8,NA,NA,NA,NA,NA,NA,9,8,8,9,8,7,7,No,NA,,5,Solo hubo un apagon,Si,Si,6,6,2,No,NA,,7,9,5,Si,No,2,1,No,NA,,7,8,2,1,2,3,8,No cuenta con bibliotecas,10,1,5,Muchas veces,Algo,Poco,Nada,pronaf,3,Sí,NA,NA,2,Si,Selected,Selected,NA,NA,NA,Selected,NA,Selected,Selected,NA,NA,,Selected,NA,NA,NA,Selected,Selected,NA,NA,Selected,NA,NA,,Sí,8,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Algo,Transporte publico,,Corrupcion,,Poco,No,,,Baja,"Escuelas (primaria, secundaria, preparatoria)",8,8,8,8,No,Sí,Sí,Sí,Basureros/tiraderos clandestinos (en casas/terrenos),,No recodo sin apoyo visual,Sí recordó con apoyo visual,Parcialmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Hombre,,56,45 a 59 anos,Estudiante que trabaja,Preparatoria terminada,Si,"$6,560.62 a $8,747.48",,"$6,560.62 a $8,747.48",semanal,Hidalgo,Si
2023-11-08T00:14:31Z,2023-11-08T01:00:45Z,False,45976437,aemtablet4,1234,2,1,Igual,No les alcanza y tienen dificultades,Sí,4,los libros,Publica,No hay ninguna persona en educacion media,,Publica,No hay ninguna persona en educacion superior,,Privada,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,Sí,No,Sí,Sí,Sí,NA,NA,NA,Selected,NA,NA,NA,,Médicos de farmacias/genericos,,9,9,10,7,10,3,Satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Muy satisfecho,Satisfecho,7,9,6,5,7,7,7,No,NA,,5,Solo hubo un apagon,Si,Si,6,6,2,No,NA,,7,9,5,Si,No,3,1,No,NA,,7,8,1,2,1,3,8,No cuenta con bibliotecas,10,5,5,Muchas veces,Algo,Poco,Poco,pronaf,3,Sí,1,NA,2,Si,Selected,NA,NA,NA,Selected,NA,NA,Selected,NA,NA,NA,,Selected,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,Sí,5,Selected,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Algo,Corrupcion,,Corrupcion,,Poco,No,,,Baja,"Escuelas (primaria, secundaria, preparatoria)",7,8,5,9,Sí,Sí,Sí,No,Llantas tiradas,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Hombre,,25,18 a 29 anos,"Empleado de empresa pública (en gobierno, CFE, Junta de Agua, PEMEX, etc)",Preparatoria terminada,Si,"$4,373.75 a $6,560.61",,"$10,934.36 a $13,121.2",,ejército nacional,Si
2023-11-07T15:09:28Z,2023-11-07T15:31:42Z,False,45976500,aemtablet14,3618,3,6,Igual,No les alcanza y tienen dificultades,No,,,NA,,,NA,,,NA,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,Selected,NA,NA,NA,NA,NA,NA,,IMSS,,8,9,9,7,10,10,Muy satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,9,7,10,9,10,9,7,No,NA,,9,Al menos una vez al mes,No,NA,,10,3,No,NA,,7,7,8,No,NA,,5,No,NA,,7,6,6,5,1,1,9,No cuenta con bibliotecas,9,5,No hay espacios para personas con discapacidad en el area,Nunca,Mucho,Mucho,Mucho,la x,NA,Sí,NA,NA,1,Si,NA,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,Sí,7,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Mucho,Corrupcion,,Corrupcion,,Nada,No,,,Media,Iglesias,8,7,5,7,No,Sí,No,No,Parques sucios/descuidados,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Mujer,,65,60 anos o más,Empleado empresa privada,Secundaria terminada,Si,"$0.00 a $2,186.87",,"$0.00 a $2,186.87",,consumidor,Si
2023-11-07T14:45:20Z,2023-11-07T15:05:36Z,False,45976501,aemtablet14,3618,3,6,Igual,"Les alcanza justo, sin grandes dificultades",Sí,6,,Publica,,,NA,,,NA,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,Selected,NA,NA,NA,NA,NA,NA,,No usa ningún tipo de servicio medico,,,,,,,,Muy satisfecho,Satisfecho,Algo satisfecho,Satisfecho,Muy satisfecho,Satisfecho,8,10,9,7,8,8,7,No,NA,,1,No hubo apagones,No,NA,,8,3,No,NA,,3,6,7,No,NA,,1,No,NA,,5,5,7,7,6,7,8,No cuenta con bibliotecas,7,4,2,Pocas veces,Mucho,Mucho,Mucho,la catedral,1,No,NA,NA,NA,Si,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Algo,Drenaje pluvial,,Calles y pavimentación,,Algo,No,,,Media,La misma ciudadanía,7,8,5,8,No,Sí,Sí,No,Calles sucias/basura en calles,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Mujer,,37,30 a 44 anos,Hogar,Secundaria terminada,Si,"$0.00 a $2,186.87",,"$0.00 a $2,186.87",,consumidor,Si
2023-11-07T14:49:57Z,2023-11-07T15:16:05Z,False,45976513,aemtablet23,3618,3,7,Mejorado algo,"Les alcanza justo, sin grandes dificultades",No,,,NA,,,NA,,,NA,Sí,Sí,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,Selected,NA,NA,NA,NA,NA,NA,,IMSS,,8,9,7,8,9,7,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,10,10,10,10,5,5,7,Si,No,1,8,No hubo apagones,No,NA,,8,3,No,NA,,8,9,7,No,NA,,5,No,NA,,8,8,8,8,8,8,8,No cuenta con bibliotecas,8,8,7,Nunca,Algo,Algo,Algo,momumento a juarez,2,No,NA,NA,NA,Si,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Mucho,Inseguridad/Violencia,,Pobreza,,Nada,No,,,Media,Gobierno Federal,8,8,6,8,Sí,Sí,No,Sí,Terrenos baldios,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Mujer,,63,60 anos o más,Empleado empresa privada,Secundaria incompleta,No,NA,,"$8,747.49 a $10,934.35",,col dura,Si
2023-11-07T15:16:10Z,2023-11-07T15:39:18Z,False,45976514,aemtablet23,3618,3,7,Mejorado algo,Les alcanza bien y pueden ahorrar,No,,,NA,,,NA,,,NA,Sí,Sí,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,Selected,NA,NA,,Servicio medico privado/particulares,,10,9,7,10,10,7,Algo satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Muy insatisfecho,Muy insatisfecho,10,10,10,7,9,9,7,No,NA,,10,No hubo apagones,No,NA,,8,2,No,NA,,9,10,8,No,NA,,9,No,NA,,10,9,8,8,8,8,7,No cuenta con bibliotecas,9,7,5,Nunca,Algo,Poco,Algo,la x,2,Sí,1,NA,NA,Si,NA,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,Sí,7,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Mucho,Falta de valores,,Inseguridad/Violencia,,Poco,No,,,Media,Gobierno Municipal,8,8,7,8,No,Sí,Sí,No,Terrenos baldios,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Hombre,,19,18 a 29 anos,Cuenta propia/Autoempleador,Secundaria terminada,No,NA,,"$2,186.88 a $4,373.74",,col duramgo,Si
2023-11-07T15:49:21Z,2023-11-07T16:16:28Z,False,45976516,aemtablet13,3618,3,1,Empeorado algo,"Les alcanza justo, sin grandes dificultades",Sí,8,,NA,,,NA,9,,Privada,NA,Sí,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,NA,NA,NA,,Médicos de farmacias/genericos,,10,8,5,8,10,7,Algo satisfecho,NA,Algo satisfecho,NA,NA,Muy satisfecho,5,5,6,7,10,10,7,No,NA,,8,Al menos una vez al mes,Si,Si,8,7,2,No,NA,,10,10,8,No,NA,,2,No,NA,,7,7,2,1,1,NA,7,8,9,7,3,Algunas veces,Poco,Poco,Poco,casa de juan gabriel,2,Sí,1,NA,NA,Si,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,Selected,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Poco,Corrupcion,,Economia/Crisis,,Nada,No,,,Muy alta,Empresas,3,2,2,10,No,No,No,Sí,Calles sucias/basura en calles,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Mujer,,26,18 a 29 anos,Empleado empresa privada,Primaria terminada,No,NA,,"$0.00 a $2,186.87",,durango,No
2023-11-07T16:19:25Z,2023-11-07T16:38:30Z,False,45976517,aemtablet13,3618,3,1,Igual,Les alcanza bien y pueden ahorrar,Sí,10,,Publica,,,NA,,,Publica,Sí,Sí,NA,Sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,NA,NA,NA,,IMSS,,10,10,10,10,10,10,Algo satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Algo satisfecho,Satisfecho,10,10,10,10,10,1,7,Si,Si,5,10,Al menos una vez al mes,Si,Si,10,5,1,No,NA,,10,10,10,No,NA,,1,Si,No,1,10,10,NA,NA,NA,1,10,8,10,10,10,Nunca,Poco,Nada,Bastante,monumento alas manos,2,No,NA,NA,NA,Si,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Mucho,Inseguridad/Violencia,,Inseguridad/Violencia,,Nada,No,,,Media,Organizaciones de la sociedad civil,10,10,10,10,No,Sí,Sí,No,Calles sucias/basura en calles,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Mujer,,58,45 a 59 anos,Empleado empresa privada,Carrera técnica terminada,No,NA,,"$0.00 a $2,186.87",,durango,Si
2023-11-07T15:12:05Z,2023-11-07T15:30:07Z,False,45976521,aemtablet17,3618,3,2,Empeorado mucho,No les alcanza y tienen dificultades,No,,,NA,,,NA,,,NA,Sí,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,Sí,NA,NA,NA,Selected,NA,NA,NA,,Médicos de farmacias/genericos,,6,8,9,9,2,2,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Muy satisfecho,6,6,6,8,8,8,7,No,NA,,8,No hubo apagones,No,NA,,8,2,No,NA,,8,8,7,No,NA,,7,No,NA,,6,6,4,4,3,4,4,No cuenta con bibliotecas,No cuenta con centros comunitarios,3,No hay espacios para personas con discapacidad en el area,Nunca,Bastante,Bastante,Bastante,la x,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Selected,NA,NA,NA,NA,Selected,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Poco,Inseguridad/Violencia,,Drogadiccion,,Nada,No,,,Muy alta,Gobierno Municipal,2,2,5,10,No,No,No,No,Calles sucias/basura en calles,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Hombre,,66,60 anos o más,Hogar,Preparatoria incompleta,No,NA,,"$2,186.88 a $4,373.74",,durango,Si
